"","sequencing_id","pathway","resampled_reads"
"28205","A6","Antifolate resistance",13483
"28206","A6","Antigen processing and presentation",2386
"28207","A6","Apelin signaling pathway",736
"28208","A6","Apoptosis",2271
"28209","A6","Apoptosis - fly",2470
"28210","A6","Apoptosis - multiple species",1825
"28211","A6","Arabinogalactan biosynthesis - Mycobacterium",16321
"28212","A6","Arachidonic acid metabolism",157
"28213","A6","Arginine and proline metabolism",69508
"28214","A6","Arginine biosynthesis",72331
"28215","A6","Arrhythmogenic right ventricular cardiomyopathy",3
"28216","A6","Ascorbate and aldarate metabolism",19222
"28217","A6","Atrazine degradation",4346
"28218","A6","Autophagy - animal",725
"28219","A6","Autophagy - other",333
"28220","A6","Autophagy - yeast",2567
"28221","A6","Axon guidance",51
"28222","A6","Axon regeneration",2257
"28223","A6","B cell receptor signaling pathway",39
"28224","A6","Bacterial chemotaxis",35154
"28225","A6","Bacterial invasion of epithelial cells",251
"28226","A6","Bacterial secretion system",70280
"28227","A6","Basal cell carcinoma",15
"28228","A6","Basal transcription factors",1653
"28229","A6","Base excision repair",57668
"28230","A6","Benzoate degradation",74767
"28231","A6","Betalain biosynthesis",3731
"28232","A6","Bile secretion",864
"28233","A6","Biofilm formation - Escherichia coli",33380
"28234","A6","Biofilm formation - Pseudomonas aeruginosa",28995
"28235","A6","Biofilm formation - Vibrio cholerae",22502
"28236","A6","Biosynthesis of 12-, 14- and 16-membered macrolides",46
"28237","A6","Biosynthesis of ansamycins",9096
"28238","A6","Biosynthesis of enediyne antibiotics",11050
"28239","A6","Biosynthesis of siderophore group nonribosomal peptides",4178
"28240","A6","Biosynthesis of type II polyketide backbone",962
"28241","A6","Biosynthesis of type II polyketide products",4974
"28242","A6","Biosynthesis of unsaturated fatty acids",14123
"28243","A6","Biosynthesis of vancomycin group antibiotics",2170
"28244","A6","Biosynthesis of various alkaloids",604
"28245","A6","Biosynthesis of various antibiotics",4449
"28246","A6","Biosynthesis of various other secondary metabolites",351
"28247","A6","Biosynthesis of various plant secondary metabolites",24865
"28248","A6","Biotin metabolism",29818
"28249","A6","Bisphenol degradation",2180
"28250","A6","Bladder cancer",1137
"28251","A6","Breast cancer",54
"28252","A6","Butanoate metabolism",77960
"28253","A6","C-type lectin receptor signaling pathway",30
"28254","A6","C5-Branched dibasic acid metabolism",26915
"28255","A6","Caffeine metabolism",1226
"28256","A6","Calcium signaling pathway",230
"28257","A6","Caprolactam degradation",20777
"28258","A6","Carbapenem biosynthesis",4248
"28259","A6","Carbohydrate digestion and absorption",236
"28260","A6","Carbon fixation by Calvin cycle",56529
"28261","A6","Cardiac muscle contraction",2370
"28262","A6","Carotenoid biosynthesis",5999
"28263","A6","Cationic antimicrobial peptide (CAMP) resistance",16512
"28264","A6","Cell cycle",1019
"28265","A6","Cell cycle - Caulobacter",54395
"28266","A6","Cell cycle - yeast",1165
"28267","A6","Cellular senescence",220
"28268","A6","Central carbon metabolism in cancer",22283
"28269","A6","Chagas disease",2318
"28270","A6","Chemical carcinogenesis - DNA adducts",9356
"28271","A6","Chemical carcinogenesis - reactive oxygen species",28757
"28272","A6","Chemical carcinogenesis - receptor activation",12492
"28273","A6","Chemokine signaling pathway",12
"28274","A6","Chloroalkane and chloroalkene degradation",14250
"28275","A6","Chlorocyclohexane and chlorobenzene degradation",26094
"28276","A6","Cholesterol metabolism",671
"28277","A6","Choline metabolism in cancer",1666
"28278","A6","Cholinergic synapse",2
"28279","A6","Chronic myeloid leukemia",24
"28280","A6","Circadian entrainment",539
"28281","A6","Circadian rhythm",178
"28282","A6","Circadian rhythm - fly",15
"28283","A6","Circadian rhythm - plant",78
"28284","A6","Citrate cycle (TCA cycle)",61868
"28285","A6","Cobalamin transport and metabolism",16681
"28286","A6","Cocaine addiction",3786
"28287","A6","Collecting duct acid secretion",32
"28288","A6","Colorectal cancer",2002
"28289","A6","Coronavirus disease - COVID-19",1944
"28290","A6","Cortisol synthesis and secretion",15
"28291","A6","Cushing syndrome",2671
"28292","A6","Cutin, suberine and wax biosynthesis",1969
"28293","A6","Cyanoamino acid metabolism",30128
"28294","A6","Cysteine and methionine metabolism",107299
"28295","A6","Cytoskeleton in muscle cells",4945
"28296","A6","Cytosolic DNA-sensing pathway",149
"28297","A6","D-Amino acid metabolism",37014
"28298","A6","DNA replication",59489
"28299","A6","Degradation of flavonoids",26575
"28300","A6","Diabetic cardiomyopathy",28896
"28301","A6","Dilated cardiomyopathy",3
"28302","A6","Dioxin degradation",3888
"28303","A6","Dopaminergic synapse",4108
"28304","A6","Dorso-ventral axis formation",201
"28305","A6","Drug metabolism - cytochrome P450",15317
"28306","A6","Drug metabolism - other enzymes",40610
"28307","A6","EGFR tyrosine kinase inhibitor resistance",86
"28308","A6","Efferocytosis",2226
"28309","A6","Endocrine and other factor-regulated calcium reabsorption",58
"28310","A6","Endocrine resistance",44
"28311","A6","Endocytosis",1941
"28312","A6","Endometrial cancer",40
"28313","A6","Epithelial cell signaling in Helicobacter pylori infection",1728
"28314","A6","Epstein-Barr virus infection",2378
"28315","A6","ErbB signaling pathway",47
"28316","A6","Estrogen signaling pathway",2346
"28317","A6","Ether lipid metabolism",33145
"28318","A6","Ethylbenzene degradation",3141
"28319","A6","Exopolysaccharide biosynthesis",22297
"28320","A6","Fanconi anemia pathway",604
"28321","A6","Fat digestion and absorption",2529
"28322","A6","Fatty acid biosynthesis",45228
"28323","A6","Fatty acid degradation",47982
"28324","A6","Fatty acid elongation",231
"28325","A6","Fc epsilon RI signaling pathway",49
"28326","A6","Fc gamma R-mediated phagocytosis",1542
"28327","A6","Ferroptosis",11984
"28328","A6","Flagellar assembly",45176
"28329","A6","Flavone and flavonol biosynthesis",210
"28330","A6","Fluid shear stress and atherosclerosis",19903
"28331","A6","Fluorobenzoate degradation",11345
"28332","A6","Focal adhesion",32
"28333","A6","Folate biosynthesis",68041
"28334","A6","FoxO signaling pathway",13608
"28335","A6","Fructose and mannose metabolism",56048
"28336","A6","Furfural degradation",1285
"28337","A6","GABAergic synapse",17700
"28338","A6","Galactose metabolism",53110
"28339","A6","Gap junction",20
"28340","A6","Gastric cancer",496
"28341","A6","Glioma",44
"28342","A6","Glucagon signaling pathway",19661
"28343","A6","Glucosinolate biosynthesis",6593
"28344","A6","Glutamatergic synapse",16984
"28345","A6","Glutathione metabolism",56559
"28346","A6","Glycerolipid metabolism",59666
"28347","A6","Glycerophospholipid metabolism",81375
"28348","A6","Glycine, serine and threonine metabolism",98257
"28349","A6","Glycolysis / Gluconeogenesis",105484
"28350","A6","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",131
"28351","A6","Glycosaminoglycan degradation",12724
"28352","A6","Glycosphingolipid biosynthesis - ganglio series",4209
"28353","A6","Glycosphingolipid biosynthesis - globo and isoglobo series",15049
"28354","A6","Glycosphingolipid biosynthesis - lacto and neolacto series",14
"28355","A6","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",722
"28356","A6","Glyoxylate and dicarboxylate metabolism",122484
"28357","A6","GnRH signaling pathway",1437
"28358","A6","Growth hormone synthesis, secretion and action",646
"28359","A6","HIF-1 signaling pathway",16263
"28360","A6","Hedgehog signaling pathway",20
"28361","A6","Hedgehog signaling pathway - fly",76
"28362","A6","Hepatitis B",1939
"28363","A6","Hepatitis C",1965
"28364","A6","Hepatocellular carcinoma",9689
"28365","A6","Herpes simplex virus 1 infection",2352
"28366","A6","Hippo signaling pathway",115
"28367","A6","Hippo signaling pathway - fly",85
"28368","A6","Hippo signaling pathway - multiple species",97
"28369","A6","Histidine metabolism",41516
"28370","A6","Homologous recombination",75291
"28371","A6","Human T-cell leukemia virus 1 infection",1186
"28372","A6","Human cytomegalovirus infection",1975
"28373","A6","Human immunodeficiency virus 1 infection",1981
"28374","A6","Human papillomavirus infection",4404
"28375","A6","Huntington disease",12972
"28376","A6","Hypertrophic cardiomyopathy",537
"28377","A6","IL-17 signaling pathway",2281
"28378","A6","Indole alkaloid biosynthesis",2149
"28379","A6","Inflammatory mediator regulation of TRP channels",38
"28380","A6","Influenza A",2477
"28381","A6","Inositol phosphate metabolism",58720
"28382","A6","Insect hormone biosynthesis",1401
"28383","A6","Insulin resistance",21638
"28384","A6","Insulin signaling pathway",13286
"28385","A6","Isoquinoline alkaloid biosynthesis",7097
"28386","A6","JAK-STAT signaling pathway",43
"28387","A6","Kaposi sarcoma-associated herpesvirus infection",1872
"28388","A6","Legionellosis",16181
"28389","A6","Leishmaniasis",22
"28390","A6","Limonene degradation",11269
"28391","A6","Linoleic acid metabolism",122
"28392","A6","Lipid and atherosclerosis",15322
"28393","A6","Lipoarabinomannan (LAM) biosynthesis",18447
"28394","A6","Lipoic acid metabolism",45372
"28395","A6","Lipopolysaccharide biosynthesis",22160
"28396","A6","Long-term depression",55
"28397","A6","Long-term potentiation",55
"28398","A6","Longevity regulating pathway",9036
"28399","A6","Longevity regulating pathway - multiple species",16219
"28400","A6","Longevity regulating pathway - worm",41126
"28401","A6","Lysine biosynthesis",45429
"28402","A6","Lysine degradation",26478
"28403","A6","Lysosome",21502
"28404","A6","MAPK signaling pathway",72
"28405","A6","MAPK signaling pathway - fly",3153
"28406","A6","MAPK signaling pathway - plant",10750
"28407","A6","MAPK signaling pathway - yeast",6483
"28408","A6","Mannose type O-glycan biosynthesis",2052
"28409","A6","Measles",2053
"28410","A6","Meiosis - yeast",5700
"28411","A6","Melanogenesis",166
"28412","A6","Melanoma",8
"28413","A6","Metabolism of xenobiotics by cytochrome P450",13632
"28414","A6","Methane metabolism",91499
"28415","A6","MicroRNAs in cancer",5113
"28416","A6","Mineral absorption",3827
"28417","A6","Mismatch repair",59683
"28418","A6","Mitophagy - animal",1660
"28419","A6","Mitophagy - yeast",340
"28420","A6","Monobactam biosynthesis",22520
"28421","A6","Morphine addiction",14
"28422","A6","Motor proteins",241
"28423","A6","Mucin type O-glycan biosynthesis",212
"28424","A6","Mycolic acid biosynthesis",12568
"28425","A6","N-Glycan biosynthesis",5177
"28426","A6","NF-kappa B signaling pathway",57
"28427","A6","NOD-like receptor signaling pathway",7922
"28428","A6","Naphthalene degradation",3002
"28429","A6","Natural killer cell mediated cytotoxicity",42
"28430","A6","Necroptosis",23936
"28431","A6","Neomycin, kanamycin and gentamicin biosynthesis",4474
"28432","A6","Neuroactive ligand-receptor interaction",542
"28433","A6","Neurotrophin signaling pathway",32
"28434","A6","Neutrophil extracellular trap formation",219
"28435","A6","Nicotinate and nicotinamide metabolism",57218
"28436","A6","Nitrogen metabolism",55511
"28437","A6","Nitrotoluene degradation",4032
"28438","A6","Non-alcoholic fatty liver disease",5693
"28439","A6","Non-homologous end-joining",25021
"28440","A6","Non-small cell lung cancer",40
"28441","A6","Nonribosomal peptide structures",2352
"28442","A6","Notch signaling pathway",72
"28443","A6","Novobiocin biosynthesis",8025
"28444","A6","Nucleocytoplasmic transport",1322
"28445","A6","Nucleotide excision repair",52901
"28446","A6","O-Antigen nucleotide sugar biosynthesis",56893
"28447","A6","O-Antigen repeat unit biosynthesis",2397
"28448","A6","Olfactory transduction",2
"28449","A6","One carbon pool by folate",42927
"28450","A6","Oocyte meiosis",514
"28451","A6","Osteoclast differentiation",254
"28452","A6","Other carbon fixation pathways",77532
"28453","A6","Other glycan degradation",20323
"28454","A6","Other types of O-glycan biosynthesis",4085
"28455","A6","Ovarian steroidogenesis",22
"28456","A6","Oxidative phosphorylation",145471
"28457","A6","Oxytocin signaling pathway",184
"28458","A6","PD-L1 expression and PD-1 checkpoint pathway in cancer",111
"28459","A6","PI3K-Akt signaling pathway",6912
"28460","A6","PPAR signaling pathway",38035
"28461","A6","Pancreatic cancer",1461
"28462","A6","Pancreatic secretion",168
"28463","A6","Pantothenate and CoA biosynthesis",53363
"28464","A6","Parathyroid hormone synthesis, secretion and action",1555
"28465","A6","Parkinson disease",13026
"28466","A6","Pathogenic Escherichia coli infection",4851
"28467","A6","Pathways in cancer",18256
"28468","A6","Pathways of neurodegeneration - multiple diseases",17791
"28469","A6","Penicillin and cephalosporin biosynthesis",10187
"28470","A6","Pentose and glucuronate interconversions",37355
"28471","A6","Pentose phosphate pathway",92286
"28472","A6","Peptidoglycan biosynthesis",66152
"28473","A6","Peroxisome",46683
"28474","A6","Pertussis",1459
"28475","A6","Phagosome",224
"28476","A6","Phenazine biosynthesis",10107
"28477","A6","Phenylalanine metabolism",70892
"28478","A6","Phenylalanine, tyrosine and tryptophan biosynthesis",55679
"28479","A6","Phenylpropanoid biosynthesis",7661
"28480","A6","Phosphatidylinositol signaling system",7399
"28481","A6","Phospholipase D signaling pathway",1671
"28482","A6","Phosphonate and phosphinate metabolism",7852
"28483","A6","Phosphotransferase system (PTS)",2138
"28484","A6","Photosynthesis",24819
"28485","A6","Photosynthesis - antenna proteins",138
"28486","A6","Phototransduction",1
"28487","A6","Phototransduction - fly",23
"28488","A6","Pinene, camphor and geraniol degradation",11970
"28489","A6","Plant hormone signal transduction",14976
"28490","A6","Plant-pathogen interaction",12598
"28491","A6","Platelet activation",37
"28492","A6","Platinum drug resistance",14057
"28493","A6","Polycomb repressive complex",1782
"28494","A6","Polycyclic aromatic hydrocarbon degradation",16220
"28495","A6","Polyketide sugar unit biosynthesis",13197
"28496","A6","Porphyrin metabolism",88446
"28497","A6","Primary bile acid biosynthesis",4673
"28498","A6","Primary immunodeficiency",2535
"28499","A6","Prion disease",7619
"28500","A6","Prodigiosin biosynthesis",19625
"28501","A6","Progesterone-mediated oocyte maturation",2510
"28502","A6","Prolactin signaling pathway",2531
"28503","A6","Propanoate metabolism",63590
"28504","A6","Prostate cancer",2387
"28505","A6","Proteasome",5205
"28506","A6","Protein digestion and absorption",215
"28507","A6","Protein export",69641
"28508","A6","Protein processing in endoplasmic reticulum",10405
"28509","A6","Proteoglycans in cancer",2846
"28510","A6","Proximal tubule bicarbonate reclamation",5548
"28511","A6","Purine metabolism",159643
"28512","A6","Pyrimidine metabolism",80010
"28513","A6","Pyruvate metabolism",110653
"28514","A6","Quorum sensing",304609
"28515","A6","RIG-I-like receptor signaling pathway",133
"28516","A6","RNA degradation",53437
"28517","A6","RNA polymerase",13118
"28518","A6","Rap1 signaling pathway",5
"28519","A6","Ras signaling pathway",1550
"28520","A6","Regulation of actin cytoskeleton",214
"28521","A6","Regulation of lipolysis in adipocytes",437
"28522","A6","Relaxin signaling pathway",17
"28523","A6","Renal cell carcinoma",2455
"28524","A6","Renin secretion",479
"28525","A6","Renin-angiotensin system",2660
"28526","A6","Retinol metabolism",2919
"28527","A6","Retrograde endocannabinoid signaling",3411
"28528","A6","Rheumatoid arthritis",320
"28529","A6","Riboflavin metabolism",27514
"28530","A6","Ribosome",109686
"28531","A6","Ribosome biogenesis in eukaryotes",6317
"28532","A6","SNARE interactions in vesicular transport",202
"28533","A6","Salivary secretion",170
"28534","A6","Salmonella infection",13061
"28535","A6","Secondary bile acid biosynthesis",790
"28536","A6","Selenocompound metabolism",64382
"28537","A6","Serotonergic synapse",3822
"28538","A6","Sesquiterpenoid and triterpenoid biosynthesis",3589
"28539","A6","Shigellosis",4175
"28540","A6","Signaling pathways regulating pluripotency of stem cells",16
"28541","A6","Small cell lung cancer",1862
"28542","A6","Sphingolipid metabolism",26253
"28543","A6","Sphingolipid signaling pathway",1997
"28544","A6","Spinocerebellar ataxia",3263
"28545","A6","Spliceosome",1214
"28546","A6","Staphylococcus aureus infection",843
"28547","A6","Starch and sucrose metabolism",116321
"28548","A6","Staurosporine biosynthesis",634
"28549","A6","Steroid biosynthesis",1241
"28550","A6","Steroid degradation",13833
"28551","A6","Steroid hormone biosynthesis",1207
"28552","A6","Streptomycin biosynthesis",23274
"28553","A6","Styrene degradation",36362
"28554","A6","Sulfur metabolism",65225
"28555","A6","Sulfur relay system",37366
"28556","A6","Synaptic vesicle cycle",132
"28557","A6","Systemic lupus erythematosus",686
"28558","A6","T cell receptor signaling pathway",96
"28559","A6","TGF-beta signaling pathway",110
"28560","A6","TNF signaling pathway",1
"28561","A6","Taurine and hypotaurine metabolism",22140
"28562","A6","Teichoic acid biosynthesis",24283
"28563","A6","Terpenoid backbone biosynthesis",37781
"28564","A6","Tetracycline biosynthesis",1379
"28565","A6","Th1 and Th2 cell differentiation",44
"28566","A6","Th17 cell differentiation",2327
"28567","A6","Thermogenesis",23823
"28568","A6","Thiamine metabolism",30174
"28569","A6","Thyroid cancer",85
"28570","A6","Thyroid hormone signaling pathway",30124
"28571","A6","Thyroid hormone synthesis",1966
"28572","A6","Tight junction",323
"28573","A6","Toll and Imd signaling pathway",1776
"28574","A6","Toluene degradation",16339
"28575","A6","Toxoplasmosis",1899
"28576","A6","Transcriptional misregulation in cancer",67
"28577","A6","Tropane, piperidine and pyridine alkaloid biosynthesis",8076
"28578","A6","Tryptophan metabolism",60652
"28579","A6","Tuberculosis",35576
"28580","A6","Two-component system",271190
"28581","A6","Type I diabetes mellitus",9806
"28582","A6","Type I polyketide structures",173
"28583","A6","Type II diabetes mellitus",4329
"28584","A6","Tyrosine metabolism",42103
"28585","A6","Ubiquinone and other terpenoid-quinone biosynthesis",38307
"28586","A6","Ubiquitin mediated proteolysis",641
"28587","A6","VEGF signaling pathway",97
"28588","A6","Valine, leucine and isoleucine biosynthesis",38182
"28589","A6","Valine, leucine and isoleucine degradation",76845
"28590","A6","Vancomycin resistance",33729
"28591","A6","Various types of N-glycan biosynthesis",4776
"28592","A6","Vascular smooth muscle contraction",61
"28593","A6","Vasopressin-regulated water reabsorption",162
"28594","A6","Vibrio cholerae infection",87
"28595","A6","Viral carcinogenesis",4960
"28596","A6","Viral life cycle - HIV-1",355
"28597","A6","Viral myocarditis",1964
"28598","A6","Virion - Bacteriophages T4 and T7",2
"28599","A6","Virion - Hepatitis viruses",222
"28600","A6","Virion - Herpesvirus",6
"28601","A6","Vitamin B6 metabolism",28681
"28602","A6","Vitamin digestion and absorption",10
"28603","A6","Wnt signaling pathway",261
"28604","A6","Xylene degradation",11957
"28605","A6","Yersinia infection",230
"28606","A6","Zeatin biosynthesis",3232
"28607","A6","alpha-Linolenic acid metabolism",5725
"28608","A6","beta-Alanine metabolism",26807
"28609","A6","beta-Lactam resistance",31048
"28610","A6","cAMP signaling pathway",3942
"28611","A6","cGMP-PKG signaling pathway",56
"28612","A6","mRNA surveillance pathway",1098
"28613","A6","mTOR signaling pathway",563
"28614","A6","p53 signaling pathway",1963
"28615","A60","ABC transporters",299097
"28616","A60","AMPK signaling pathway",11726
"28617","A60","ATP-dependent chromatin remodeling",656
"28618","A60","Acarbose and validamycin biosynthesis",4633
"28619","A60","Acute myeloid leukemia",3
"28620","A60","Adherens junction",38
"28621","A60","Adipocytokine signaling pathway",14209
"28622","A60","Adrenergic signaling in cardiomyocytes",46
"28623","A60","Aflatoxin biosynthesis",10
"28624","A60","African trypanosomiasis",2027
"28625","A60","Alanine, aspartate and glutamate metabolism",105999
"28626","A60","Alcoholic liver disease",22817
"28627","A60","Alcoholism",5840
"28628","A60","Aldosterone synthesis and secretion",79
"28629","A60","Aldosterone-regulated sodium reabsorption",25
"28630","A60","Alzheimer disease",13100
"28631","A60","Amino sugar and nucleotide sugar metabolism",119116
"28632","A60","Aminoacyl-tRNA biosynthesis",118179
"28633","A60","Aminobenzoate degradation",39816
"28634","A60","Amoebiasis",755
"28635","A60","Amphetamine addiction",5798
"28636","A60","Amyotrophic lateral sclerosis",16118
"28637","A60","Antifolate resistance",12040
"28638","A60","Antigen processing and presentation",2048
"28639","A60","Apelin signaling pathway",669
"28640","A60","Apoptosis",1922
"28641","A60","Apoptosis - fly",2351
"28642","A60","Apoptosis - multiple species",1665
"28643","A60","Arabinogalactan biosynthesis - Mycobacterium",14888
"28644","A60","Arachidonic acid metabolism",189
"28645","A60","Arginine and proline metabolism",71729
"28646","A60","Arginine biosynthesis",72915
"28647","A60","Arrhythmogenic right ventricular cardiomyopathy",1
"28648","A60","Ascorbate and aldarate metabolism",17742
"28649","A60","Atrazine degradation",4349
"28650","A60","Autophagy - animal",959
"28651","A60","Autophagy - other",345
"28652","A60","Autophagy - yeast",2573
"28653","A60","Axon guidance",47
"28654","A60","Axon regeneration",3543
"28655","A60","B cell receptor signaling pathway",11
"28656","A60","Bacterial chemotaxis",42810
"28657","A60","Bacterial invasion of epithelial cells",150
"28658","A60","Bacterial secretion system",70164
"28659","A60","Basal cell carcinoma",4
"28660","A60","Basal transcription factors",1377
"28661","A60","Base excision repair",55721
"28662","A60","Benzoate degradation",72828
"28663","A60","Betalain biosynthesis",4869
"28664","A60","Bile secretion",1546
"28665","A60","Biofilm formation - Escherichia coli",39599
"28666","A60","Biofilm formation - Pseudomonas aeruginosa",35968
"28667","A60","Biofilm formation - Vibrio cholerae",25035
"28668","A60","Biosynthesis of 12-, 14- and 16-membered macrolides",27
"28669","A60","Biosynthesis of ansamycins",8116
"28670","A60","Biosynthesis of enediyne antibiotics",11131
"28671","A60","Biosynthesis of siderophore group nonribosomal peptides",3793
"28672","A60","Biosynthesis of type II polyketide backbone",846
"28673","A60","Biosynthesis of type II polyketide products",3536
"28674","A60","Biosynthesis of unsaturated fatty acids",16303
"28675","A60","Biosynthesis of vancomycin group antibiotics",2061
"28676","A60","Biosynthesis of various alkaloids",347
"28677","A60","Biosynthesis of various antibiotics",4443
"28678","A60","Biosynthesis of various other secondary metabolites",274
"28679","A60","Biosynthesis of various plant secondary metabolites",25726
"28680","A60","Biotin metabolism",31719
"28681","A60","Bisphenol degradation",1541
"28682","A60","Bladder cancer",1424
"28683","A60","Breast cancer",5
"28684","A60","Butanoate metabolism",83811
"28685","A60","C-type lectin receptor signaling pathway",11
"28686","A60","C5-Branched dibasic acid metabolism",26536
"28687","A60","Caffeine metabolism",990
"28688","A60","Calcium signaling pathway",425
"28689","A60","Caprolactam degradation",19519
"28690","A60","Carbapenem biosynthesis",4987
"28691","A60","Carbohydrate digestion and absorption",262
"28692","A60","Carbon fixation by Calvin cycle",56063
"28693","A60","Cardiac muscle contraction",2731
"28694","A60","Carotenoid biosynthesis",5949
"28695","A60","Cationic antimicrobial peptide (CAMP) resistance",20422
"28696","A60","Cell cycle",1298
"28697","A60","Cell cycle - Caulobacter",55799
"28698","A60","Cell cycle - yeast",1190
"28699","A60","Cellular senescence",124
"28700","A60","Central carbon metabolism in cancer",24609
"28701","A60","Chagas disease",1681
"28702","A60","Chemical carcinogenesis - DNA adducts",8818
"28703","A60","Chemical carcinogenesis - reactive oxygen species",27981
"28704","A60","Chemical carcinogenesis - receptor activation",11242
"28705","A60","Chloroalkane and chloroalkene degradation",12817
"28706","A60","Chlorocyclohexane and chlorobenzene degradation",24091
"28707","A60","Cholesterol metabolism",483
"28708","A60","Choline metabolism in cancer",2336
"28709","A60","Cholinergic synapse",4
"28710","A60","Circadian entrainment",520
"28711","A60","Circadian rhythm",153
"28712","A60","Circadian rhythm - fly",17
"28713","A60","Circadian rhythm - plant",26
"28714","A60","Citrate cycle (TCA cycle)",69716
"28715","A60","Cobalamin transport and metabolism",16305
"28716","A60","Cocaine addiction",5781
"28717","A60","Collecting duct acid secretion",68
"28718","A60","Colorectal cancer",1800
"28719","A60","Coronavirus disease - COVID-19",1716
"28720","A60","Cushing syndrome",2915
"28721","A60","Cutin, suberine and wax biosynthesis",1467
"28722","A60","Cyanoamino acid metabolism",30138
"28723","A60","Cysteine and methionine metabolism",106717
"28724","A60","Cytoskeleton in muscle cells",5136
"28725","A60","Cytosolic DNA-sensing pathway",189
"28726","A60","D-Amino acid metabolism",33563
"28727","A60","DNA replication",57910
"28728","A60","Degradation of flavonoids",27588
"28729","A60","Diabetic cardiomyopathy",29575
"28730","A60","Dioxin degradation",3252
"28731","A60","Dopaminergic synapse",5949
"28732","A60","Dorso-ventral axis formation",75
"28733","A60","Drug metabolism - cytochrome P450",15149
"28734","A60","Drug metabolism - other enzymes",37461
"28735","A60","EGFR tyrosine kinase inhibitor resistance",68
"28736","A60","Efferocytosis",2555
"28737","A60","Endocrine and other factor-regulated calcium reabsorption",111
"28738","A60","Endocrine resistance",4
"28739","A60","Endocytosis",2821
"28740","A60","Endometrial cancer",70
"28741","A60","Epithelial cell signaling in Helicobacter pylori infection",2059
"28742","A60","Epstein-Barr virus infection",2080
"28743","A60","ErbB signaling pathway",1
"28744","A60","Estrogen signaling pathway",1952
"28745","A60","Ether lipid metabolism",30664
"28746","A60","Ethylbenzene degradation",2747
"28747","A60","Exopolysaccharide biosynthesis",22237
"28748","A60","Fanconi anemia pathway",727
"28749","A60","Fat digestion and absorption",3194
"28750","A60","Fatty acid biosynthesis",44968
"28751","A60","Fatty acid degradation",50159
"28752","A60","Fatty acid elongation",136
"28753","A60","Fc epsilon RI signaling pathway",82
"28754","A60","Fc gamma R-mediated phagocytosis",2340
"28755","A60","Ferroptosis",11362
"28756","A60","Flagellar assembly",51196
"28757","A60","Flavone and flavonol biosynthesis",216
"28758","A60","Fluid shear stress and atherosclerosis",19734
"28759","A60","Fluorobenzoate degradation",9881
"28760","A60","Focal adhesion",74
"28761","A60","Folate biosynthesis",65264
"28762","A60","FoxO signaling pathway",13741
"28763","A60","Fructose and mannose metabolism",49155
"28764","A60","Furfural degradation",904
"28765","A60","GABAergic synapse",17317
"28766","A60","Galactose metabolism",50689
"28767","A60","Gastric cancer",1040
"28768","A60","Glioma",20
"28769","A60","Glucagon signaling pathway",20144
"28770","A60","Glucosinolate biosynthesis",7038
"28771","A60","Glutamatergic synapse",16754
"28772","A60","Glutathione metabolism",59850
"28773","A60","Glycerolipid metabolism",58553
"28774","A60","Glycerophospholipid metabolism",77816
"28775","A60","Glycine, serine and threonine metabolism",100393
"28776","A60","Glycolysis / Gluconeogenesis",108257
"28777","A60","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",3
"28778","A60","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",67
"28779","A60","Glycosaminoglycan degradation",11261
"28780","A60","Glycosphingolipid biosynthesis - ganglio series",3175
"28781","A60","Glycosphingolipid biosynthesis - globo and isoglobo series",12429
"28782","A60","Glycosphingolipid biosynthesis - lacto and neolacto series",5
"28783","A60","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",500
"28784","A60","Glyoxylate and dicarboxylate metabolism",128397
"28785","A60","GnRH signaling pathway",2236
"28786","A60","Growth hormone synthesis, secretion and action",588
"28787","A60","HIF-1 signaling pathway",15800
"28788","A60","Hedgehog signaling pathway",82
"28789","A60","Hedgehog signaling pathway - fly",77
"28790","A60","Hepatitis B",1746
"28791","A60","Hepatitis C",1695
"28792","A60","Hepatocellular carcinoma",9024
"28793","A60","Herpes simplex virus 1 infection",1932
"28794","A60","Hippo signaling pathway",73
"28795","A60","Hippo signaling pathway - fly",22
"28796","A60","Hippo signaling pathway - multiple species",114
"28797","A60","Histidine metabolism",41951
"28798","A60","Homologous recombination",75994
"28799","A60","Human T-cell leukemia virus 1 infection",1009
"28800","A60","Human cytomegalovirus infection",1651
"28801","A60","Human immunodeficiency virus 1 infection",1751
"28802","A60","Human papillomavirus infection",4708
"28803","A60","Huntington disease",13209
"28804","A60","Hypertrophic cardiomyopathy",250
"28805","A60","IL-17 signaling pathway",1889
"28806","A60","Indole alkaloid biosynthesis",3184
"28807","A60","Inflammatory mediator regulation of TRP channels",46
"28808","A60","Influenza A",1959
"28809","A60","Inositol phosphate metabolism",53224
"28810","A60","Insect hormone biosynthesis",1350
"28811","A60","Insulin resistance",22763
"28812","A60","Insulin signaling pathway",13727
"28813","A60","Isoquinoline alkaloid biosynthesis",8977
"28814","A60","JAK-STAT signaling pathway",2
"28815","A60","Kaposi sarcoma-associated herpesvirus infection",1717
"28816","A60","Legionellosis",14745
"28817","A60","Leishmaniasis",39
"28818","A60","Limonene degradation",9361
"28819","A60","Linoleic acid metabolism",212
